longitude,latitude,date,aet,def,pet,ppt,q,soil,swe,tmax,tmin,tmean
-97.6875,17.0625,1998-06-01,122.1,0,122.1,257,12.8,144.5,0,26.049999999999997,8.840000000000003,17.445
-97.6458333333333,17.0625,1998-06-01,123.2,0,123.2,255.9,12.8,140.70000000000002,0,26.08,8.879999999999995,17.479999999999997
-97.7291666666667,17.1041666666667,1998-06-01,122.3,0,122.3,247.5,12.4,135.4,0,24.960000000000008,8.530000000000001,16.745000000000005
-97.6875,17.1041666666667,1998-06-01,120.2,0,120.2,247.8,12.4,137.70000000000002,0,24.430000000000007,8.010000000000005,16.220000000000006
-97.6458333333333,17.1041666666667,1998-06-01,119.2,0,119.2,249.2,12.5,139.8,0,23.480000000000004,7.469999999999999,15.475000000000001
-97.7291666666667,17.0208333333333,1998-07-01,116.4,0,116.4,149.3,7.5,188.1,0,24.85000000000001,10.329999999999998,17.590000000000003
-97.6875,17.0208333333333,1998-07-01,112.1,0,112.1,146.6,7.300000000000001,177.60000000000002,0,22.129999999999995,8.659999999999997,15.394999999999996
-97.6458333333333,17.0208333333333,1998-07-01,115.6,0,115.6,149.70000000000002,7.5,177.5,0,23.960000000000008,9.72,16.840000000000003
-97.7291666666667,17.0625,1998-07-01,109.4,0,109.4,142.70000000000002,7.1000000000000005,174.10000000000002,0,20.960000000000008,7.719999999999999,14.340000000000003
-97.6875,17.0625,1998-07-01,111.7,0,111.7,142.5,7.1000000000000005,168.10000000000002,0,22.629999999999995,8.740000000000009,15.685000000000002
-97.6458333333333,17.0625,1998-07-01,112.4,0,112.4,142.9,7.1000000000000005,164.10000000000002,0,22.629999999999995,8.769999999999996,15.699999999999996
-97.7291666666667,17.1041666666667,1998-07-01,111,0,111,138.20000000000002,6.9,155.70000000000002,0,21.58,8.219999999999999,14.899999999999999
-97.6875,17.1041666666667,1998-07-01,109.1,0,109.1,138.4,6.9,160,0,20.980000000000004,7.760000000000005,14.370000000000005
-97.6458333333333,17.1041666666667,1998-07-01,108.2,0,108.2,141.4,7.1000000000000005,165.9,0,20.03,7.159999999999997,13.594999999999999
-97.7291666666667,17.0208333333333,1998-08-01,115.8,0,115.8,236.7,53.7,255.3,0,25.06,10.53,17.794999999999998
-97.6875,17.0208333333333,1998-08-01,111.8,0,111.8,223.3,40.900000000000006,248.2,0,22.56,8.730000000000004,15.645000000000001
-97.6458333333333,17.0208333333333,1998-08-01,114.8,0,114.8,220.6,42.2,241.1,0,24.320000000000007,9.89,17.105000000000004
-97.7291666666667,17.0625,1998-08-01,108.7,0,108.7,225.1,41.3,249.3,0,21.230000000000004,7.890000000000001,14.560000000000002
-97.6875,17.0625,1998-08-01,111.2,0,111.2,217.6,31.6,243,0,23.019999999999996,8.879999999999995,15.949999999999996
-97.6458333333333,17.0625,1998-08-01,111.8,0,111.8,213.7,29.4,236.7,0,23.049999999999997,8.930000000000007,15.990000000000002
-97.7291666666667,17.1041666666667,1998-08-01,110.4,0,110.4,219.4,21.5,243.2,0,21.879999999999995,8.329999999999998,15.104999999999997
-97.6875,17.1041666666667,1998-08-01,108.6,0,108.6,215.4,29.1,237.7,0,21.31,7.8700000000000045,14.590000000000002
-97.6458333333333,17.1041666666667,1998-08-01,107.7,0,107.7,215.1,41.1,232.2,0,20.370000000000005,7.340000000000003,13.855000000000004
-97.7291666666667,17.0208333333333,1998-09-01,83.7,0,83.7,367.9,284.2,255.3,0,23.19,11.260000000000003,17.225
-97.6875,17.0208333333333,1998-09-01,81.4,0,81.4,336.40000000000003,255,248.2,0,20.769999999999996,9.629999999999995,15.199999999999996
-97.6458333333333,17.0208333333333,1998-09-01,83.60000000000001,0,83.60000000000001,333,249.4,241.1,0,22.570000000000007,10.64,16.605000000000004
-97.7291666666667,17.0625,1998-09-01,79.10000000000001,0,79.10000000000001,342.1,263,249.3,0,19.56,8.719999999999999,14.139999999999999
-97.6875,17.0625,1998-09-01,80.2,0,80.2,327.20000000000005,247,243,0,21.299999999999997,9.659999999999997,15.479999999999997
-97.6458333333333,17.0625,1998-09-01,80.7,0,80.7,323.40000000000003,242.7,236.7,0,21.269999999999996,9.730000000000004,15.5
-97.7291666666667,17.1041666666667,1998-09-01,80.2,0,80.2,331.5,251.3,243.2,0,20.200000000000003,9.150000000000006,14.675000000000004
-97.6875,17.1041666666667,1998-09-01,78.5,0,78.5,329.5,251,237.7,0,19.570000000000007,8.719999999999999,14.145000000000003
-97.6458333333333,17.1041666666667,1998-09-01,77.9,0,77.9,331.1,253.2,232.2,0,18.659999999999997,8.11,13.384999999999998
-97.7291666666667,17.0208333333333,1998-10-01,90.2,1.6,91.8,91.9,4.6000000000000005,252.5,0,23.5,9.850000000000009,16.675000000000004
-97.6875,17.0208333333333,1998-10-01,83.2,6.5,89.7,75.8,3.8,237,0,20.980000000000004,8.200000000000003,14.590000000000003
-97.6458333333333,17.0208333333333,1998-10-01,83.60000000000001,7.9,91.5,73.7,3.7,227.5,0,22.799999999999997,9.189999999999998,15.994999999999997
-97.7291666666667,17.0625,1998-10-01,84.4,3,87.4,83.4,4.2,244.1,0,19.67,7.329999999999998,13.5
-97.6875,17.0625,1998-10-01,82,6.2,88.2,75.2,3.8,232.4,0,21.370000000000005,8.200000000000003,14.785000000000004
-97.6458333333333,17.0625,1998-10-01,81.7,7.2,88.9,72.9,3.6,224.3,0,21.42,8.320000000000007,14.870000000000005
-97.7291666666667,17.1041666666667,1998-10-01,82.30000000000001,6.6000000000000005,88.9,74.60000000000001,3.7,231.8,0,20.299999999999997,7.780000000000001,14.04
-97.6875,17.1041666666667,1998-10-01,82.30000000000001,4.6000000000000005,86.9,78.30000000000001,3.9,229.8,0,19.730000000000004,7.269999999999996,13.5
-97.6458333333333,17.1041666666667,1998-10-01,81.30000000000001,5.4,86.7,75.8,3.8,223,0,18.89,6.799999999999997,12.844999999999999
-97.7291666666667,17.0208333333333,1998-11-01,75.3,18.7,94,45.900000000000006,2.3000000000000003,220.9,0,25.13000000000001,7.980000000000004,16.555000000000007
-97.6875,17.0208333333333,1998-11-01,71,20.9,91.9,39.6,2,203.6,0,22.47,6.450000000000003,14.46
-97.6458333333333,17.0208333333333,1998-11-01,72.10000000000001,20.8,92.9,41.5,2.1,194.8,0,24.180000000000007,7.180000000000007,15.680000000000007
-97.7291666666667,17.0625,1998-11-01,71.10000000000001,18.8,89.9,42,2.1,212.8,0,21.120000000000005,5.640000000000001,13.380000000000003
-97.6875,17.0625,1998-11-01,69.9,19.8,89.7,40.1,2,200.6,0,22.710000000000008,6.159999999999997,14.435000000000002
-97.6458333333333,17.0625,1998-11-01,69.4,21.1,90.5,37.9,1.9,190.9,0,22.74000000000001,6.310000000000002,14.525000000000006
-97.7291666666667,17.1041666666667,1998-11-01,68.4,22.5,90.9,34.300000000000004,1.7000000000000002,196,0,21.75,6.030000000000001,13.89
-97.6875,17.1041666666667,1998-11-01,69.2,20,89.2,38.5,1.9,197.2,0,21.11,5.519999999999996,13.314999999999998
-97.6458333333333,17.1041666666667,1998-11-01,70.7,18.6,89.30000000000001,43,2.1,193.1,0,20.28,5.219999999999999,12.75
-97.7291666666667,17.0208333333333,1998-12-01,59,41.2,100.2,2.6,0.1,164.3,0,24.570000000000007,4.8700000000000045,14.720000000000006
-97.6875,17.0208333333333,1998-12-01,55.900000000000006,42,97.9,2.6,0.1,150.20000000000002,0,22.019999999999996,3.5400000000000063,12.780000000000001
-97.6458333333333,17.0208333333333,1998-12-01,55.6,42.900000000000006,98.5,2.4000000000000004,0.1,141.5,0,23.60000000000001,4.049999999999997,13.825000000000003
-97.7291666666667,17.0625,1998-12-01,56.400000000000006,39.900000000000006,96.3,2.6,0.1,159,0,20.64,2.730000000000004,11.685000000000002
-97.6875,17.0625,1998-12-01,54.7,40.900000000000006,95.6,2.4000000000000004,0.1,148.20000000000002,0,22.14,3.049999999999997,12.594999999999999
-97.6458333333333,17.0625,1998-12-01,54.400000000000006,42,96.4,2.5,0.1,138.8,0,22.22,3.260000000000005,12.740000000000002
-97.7291666666667,17.1041666666667,1998-12-01,54.900000000000006,42.900000000000006,97.8,1.9,0.1,142.9,0,21.290000000000006,3.0600000000000023,12.175000000000004
-97.6875,17.1041666666667,1998-12-01,55,40.8,95.8,2.5,0.1,144.5,0,20.67,2.5700000000000074,11.620000000000005
-97.6458333333333,17.1041666666667,1998-12-01,55.400000000000006,40.7,96.1,2.9000000000000004,0.1,140.3,0,19.90000000000001,2.4200000000000017,11.160000000000005
-97.7291666666667,17.0208333333333,1999-01-01,51.400000000000006,55.7,107.1,1.2000000000000002,0.1,114,0,24.17,4.590000000000003,14.380000000000003
-97.6875,17.0208333333333,1999-01-01,47.8,56.400000000000006,104.2,1,0,103.3,0,21.5,3.210000000000008,12.355000000000004
-97.6458333333333,17.0208333333333,1999-01-01,46.900000000000006,57.400000000000006,104.3,1.1,0.1,95.7,0,23.019999999999996,3.629999999999995,13.324999999999996
-97.7291666666667,17.0625,1999-01-01,48.8,53.6,102.4,1.1,0.1,111.2,0,20.210000000000008,2.530000000000001,11.370000000000005
-97.6875,17.0625,1999-01-01,46.6,54.400000000000006,101,1,0.1,102.5,0,21.519999999999996,2.730000000000004,12.125
-97.6458333333333,17.0625,1999-01-01,45.7,56.3,102,0.9,0,93.9,0,21.64,2.8500000000000085,12.245000000000005
-97.7291666666667,17.1041666666667,1999-01-01,46.5,57.2,103.7,0.9,0,97.2,0,20.790000000000006,2.9000000000000057,11.845000000000006
-97.6875,17.1041666666667,1999-01-01,46.8,54.900000000000006,101.7,0.9,0,98.6,0,20.159999999999997,2.3700000000000045,11.265
-97.6458333333333,17.1041666666667,1999-01-01,46.7,55.1,101.8,1.1,0.1,94.6,0,19.40000000000001,2.200000000000003,10.800000000000006
-97.7291666666667,17.0208333333333,1999-02-01,42.8,72,114.8,2.5,0.1,73.5,0,26.320000000000007,5.019999999999996,15.670000000000002
-97.6875,17.0208333333333,1999-02-01,37.3,75.2,112.5,2.2,0.1,68.10000000000001,0,23.879999999999995,3.680000000000007,13.780000000000001
-97.6458333333333,17.0208333333333,1999-02-01,33.6,79.7,113.3,2.4000000000000004,0.1,64.3,0,25.49000000000001,4.299999999999997,14.895000000000003
-97.7291666666667,17.0625,1999-02-01,41.1,69.5,110.6,2.1,0.1,72.10000000000001,0,22.620000000000005,3.1599999999999966,12.89
-97.6875,17.0625,1999-02-01,37.5,72.5,110,2.3000000000000003,0.1,67.2,0,24.06,3.4000000000000057,13.730000000000002
-97.6458333333333,17.0625,1999-02-01,33.1,77.7,110.8,2.4000000000000004,0.1,63.2,0,24.17,3.609999999999999,13.89
-97.7291666666667,17.1041666666667,1999-02-01,33.7,78.7,112.4,1.8,0.1,65.2,0,23.31,3.5799999999999983,13.444999999999999
-97.6875,17.1041666666667,1999-02-01,35.5,74.9,110.4,2.1,0.1,65.10000000000001,0,22.730000000000004,3.1000000000000085,12.915000000000006
-97.6458333333333,17.1041666666667,1999-02-01,34,76,110,2.5,0.1,63,0,21.92,2.9099999999999966,12.415
-97.7291666666667,17.0208333333333,1999-03-01,28.4,103.8,132.20000000000002,10.6,0.5,55.1,0,25.83,6.840000000000003,16.335
-97.6875,17.0208333333333,1999-03-01,24.4,104.7,129.1,8.5,0.4,51.8,0,23.31,5.320000000000007,14.315000000000003
